,Name,state,summit_elev,vertical_drop,fastEight,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,clusters
1,Eaglecrest Ski Area,Alaska,2600,1540,0.0,0,0,0,4,0,4,36.0,1.0,2.0,640.0,60.0,45.0,44.0,350.0,47.0,53.0,90.0,57.91695652173913,0
2,Hilltop Ski Area,Alaska,2090,294,0.0,0,0,1,0,2,3,13.0,1.0,1.0,30.0,30.0,150.0,36.0,69.0,30.0,34.0,152.0,30.0,2
4,Sunrise Park Resort,Arizona,11100,1800,57.91695652173913,1,2,3,1,0,7,65.0,2.0,1.2,800.0,80.0,115.0,49.0,250.0,74.0,78.0,104.0,80.0,1
5,Yosemite Ski & Snowboard Area,California,7800,600,0.0,0,0,1,3,1,5,10.0,2.0,0.4,88.0,57.91695652173913,110.0,84.0,300.0,47.0,47.0,107.0,57.91695652173913,1
9,Dodge Ridge,California,8200,1600,0.0,0,1,2,5,4,12,67.0,5.0,2.0,862.0,57.91695652173913,57.91695652173913,69.0,350.0,78.0,78.0,140.0,57.91695652173913,1
10,Donner Ski Ranch,California,8012,750,0.0,0,0,1,5,2,8,52.0,2.0,1.5,505.0,60.0,163.0,82.0,400.0,75.0,75.0,170.0,57.91695652173913,1
12,June Mountain,California,10090,2590,57.91695652173913,2,0,0,4,1,7,41.0,2.0,2.0,1500.0,57.91695652173913,57.91695652173913,58.0,250.0,57.91695652173913,57.91695652173913,128.0,57.91695652173913,1
15,Mt. Shasta Ski Park,California,6890,1435,57.91695652173913,0,0,3,0,1,4,32.0,2.0,1.1,425.0,225.0,140.0,34.0,300.0,49.0,59.0,130.0,57.91695652173913,1
16,Mountain High,California,8200,1600,57.91695652173913,2,2,2,5,3,14,59.0,1.0,1.6,290.0,275.0,118.0,95.0,108.0,84.0,84.0,150.0,73.0,1
20,Ski China Peak,California,8709,1679,0.0,0,1,4,2,4,11,45.0,1.0,2.2,1400.0,150.0,140.0,62.0,300.0,83.0,83.0,144.0,57.91695652173913,1
25,Tahoe Donner,California,7350,600,0.0,0,1,1,0,3,5,14.0,2.0,1.0,120.0,57.91695652173913,150.0,48.0,400.0,69.0,69.0,144.0,57.91695652173913,1
37,Monarch Mountain,Colorado,11952,1162,0.0,0,1,0,4,2,7,64.0,2.0,1.0,800.0,57.91695652173913,143.0,80.0,350.0,89.0,89.0,136.0,57.91695652173913,1
40,Cooper,Colorado,11700,1200,0.0,0,0,1,1,2,4,41.0,1.0,1.0,400.0,57.91695652173913,130.0,74.0,260.0,56.0,56.0,130.0,57.91695652173913,1
41,Ski Granby Ranch,Colorado,9202,1000,0.0,2,0,1,1,1,5,40.0,1.0,0.6,406.0,170.0,116.0,36.0,220.0,84.0,84.0,92.0,100.0,1
43,Sunlight Mountain Resort,Colorado,9895,2010,0.0,0,0,1,2,0,3,67.0,1.0,2.5,680.0,30.0,100.0,53.0,250.0,65.0,65.0,135.0,57.91695652173913,1
49,Mount Southington Ski Area,Connecticut,525,425,57.91695652173913,0,0,2,2,3,7,14.0,2.0,0.3,51.0,51.0,63.0,55.0,80.0,60.0,60.0,95.0,51.0,2
50,Powder Ridge Park,Connecticut,720,550,0.0,0,0,1,2,2,5,19.0,4.0,0.5,80.0,68.0,80.0,60.0,80.0,45.0,55.0,100.0,40.0,2
51,Ski Sundown,Connecticut,1075,625,0.0,0,0,3,0,2,5,16.0,2.0,1.0,70.0,70.0,84.0,50.0,45.0,62.0,62.0,95.0,66.0,2
52,Woodbury Ski Area,Connecticut,730,300,57.91695652173913,0,0,0,1,4,5,12.0,2.0,0.2,50.0,50.0,126.0,57.0,70.0,42.0,42.0,180.0,35.0,2
55,Kelly Canyon Ski Area,Idaho,6600,1000,57.91695652173913,0,0,0,4,2,6,51.0,1.0,1.3,740.0,57.91695652173913,57.91695652173913,62.0,200.0,57.91695652173913,42.0,57.91695652173913,57.91695652173913,1
56,Lookout Pass Ski Area,Idaho,5650,1150,0.0,0,0,1,3,0,4,35.0,2.0,1.5,540.0,57.91695652173913,113.0,84.0,400.0,44.0,47.0,140.0,57.91695652173913,0
58,Pebble Creek Ski Area,Idaho,8560,2200,0.0,0,0,3,0,0,3,54.0,2.0,1.3,1100.0,30.0,85.0,70.0,250.0,47.0,47.0,91.0,30.0,1
59,Pomerelle Mountain Resort,Idaho,9000,1000,57.91695652173913,0,0,1,1,1,3,24.0,2.0,1.5,500.0,50.0,138.0,56.0,500.0,57.91695652173913,57.91695652173913,138.0,100.0,1
67,Ski Snowstar Winter Sports Park,Illinois,790,262,57.91695652173913,0,2,0,2,2,6,15.0,1.0,0.8,28.0,28.0,56.0,38.0,38.0,25.0,35.0,86.0,28.0,2
69,Paoli Peaks,Indiana,900,300,0.0,1,1,3,1,2,8,15.0,2.0,0.4,65.0,65.0,75.0,41.0,18.0,38.0,45.0,80.0,65.0,2
70,Perfect North Slopes,Indiana,800,400,57.91695652173913,0,2,3,0,6,11,23.0,2.0,1.0,100.0,100.0,82.0,39.0,24.0,52.0,52.0,90.0,100.0,2
71,Mt. Crescent Ski Area,Iowa,1500,300,57.91695652173913,0,1,0,1,0,2,11.0,1.0,0.2,50.0,50.0,57.91695652173913,58.0,30.0,29.0,39.0,57.91695652173913,50.0,2
72,Seven Oaks,Iowa,975,275,0.0,0,0,2,0,2,4,11.0,2.0,1.0,35.0,35.0,100.0,22.0,40.0,40.0,40.0,100.0,35.0,2
73,Sundown Mountain,Iowa,1059,475,57.91695652173913,0,1,1,2,2,6,21.0,2.0,0.6,55.0,55.0,57.91695652173913,46.0,45.0,38.0,46.0,57.91695652173913,55.0,2
75,Camden Snow Bowl,Maine,1080,850,57.91695652173913,0,0,1,1,1,3,26.0,2.0,1.0,100.0,48.0,68.0,83.0,69.0,33.0,43.0,70.0,48.0,2
76,Lost Valley,Maine,495,240,57.91695652173913,0,0,0,2,2,4,22.0,2.0,0.3,45.0,45.0,87.0,58.0,50.0,29.0,55.0,104.0,45.0,2
77,Mt. Abram Ski Resort,Maine,2250,1150,0.0,0,0,0,2,3,5,54.0,1.0,0.5,640.0,175.0,120.0,59.0,125.0,29.0,49.0,120.0,57.91695652173913,2
80,Shawnee Peak,Maine,1900,1350,57.91695652173913,0,1,2,1,2,6,43.0,3.0,0.8,239.0,234.0,97.0,81.0,110.0,55.0,75.0,103.0,110.0,2
83,Wisp,Maryland,3115,700,57.91695652173913,0,2,5,0,5,12,34.0,3.0,1.5,172.0,118.0,121.0,64.0,100.0,59.0,79.0,120.0,118.0,0
84,Berkshire East,Massachusetts,1720,1180,57.91695652173913,0,2,1,1,2,6,47.0,2.0,2.0,180.0,165.0,120.0,68.0,120.0,48.0,68.0,120.0,80.0,2
85,Blandford Ski Area,Massachusetts,1685,465,0.0,0,0,0,3,2,5,29.0,2.0,0.5,132.0,70.0,57.91695652173913,83.0,50.0,20.0,45.0,57.91695652173913,70.0,2
91,Otis Ridge Ski Area,Massachusetts,1700,400,57.91695652173913,0,0,0,1,3,4,11.0,1.0,1.0,60.0,55.0,106.0,73.0,70.0,20.0,40.0,106.0,35.0,2
93,Ski Ward,Massachusetts,420,210,0.0,0,0,1,0,3,4,11.0,1.0,0.2,45.0,45.0,105.0,50.0,80.0,57.91695652173913,57.91695652173913,120.0,38.0,2
95,Alpine Valley Ski Area,Michigan,500,240,57.91695652173913,0,1,2,5,6,14,25.0,3.0,0.2,100.0,100.0,57.91695652173913,57.0,20.0,39.0,47.0,57.91695652173913,100.0,2
99,Big Snow Resort - Blackjack,Michigan,850,465,0.0,0,0,0,4,2,6,26.0,2.0,1.0,170.0,86.0,95.0,42.0,210.0,49.0,65.0,115.0,57.91695652173913,2
105,Big Snow Resort - Indianhead Mountain,Michigan,1935,638,57.91695652173913,0,1,1,5,2,9,32.0,2.0,1.0,240.0,150.0,120.0,60.0,204.0,49.0,49.0,120.0,57.91695652173913,2
106,Marquette Mountain,Michigan,1357,600,57.91695652173913,0,0,1,2,1,4,35.0,3.0,0.7,169.0,143.0,139.0,60.0,210.0,57.91695652173913,57.91695652173913,135.0,89.0,2
107,Mont Ripley,Michigan,1140,440,57.91695652173913,0,0,0,2,2,4,25.0,2.0,0.8,112.0,112.0,114.0,83.0,275.0,49.0,49.0,100.0,100.0,2
113,Norway Mountain,Michigan,1335,500,57.91695652173913,0,0,1,2,3,6,17.0,1.0,1.4,186.0,186.0,110.0,45.0,100.0,57.91695652173913,45.0,110.0,40.0,2
116,Pine Mountain,Michigan,1650,500,0.0,0,0,1,2,1,4,28.0,1.0,0.5,160.0,160.0,110.0,80.0,60.0,57.91695652173913,45.0,126.0,80.0,2
119,Snow Snake Mountain Ski Area,Michigan,1230,210,57.91695652173913,0,0,1,0,5,6,12.0,2.0,0.0,40.0,40.0,57.91695652173913,72.0,57.91695652173913,30.0,35.0,57.91695652173913,40.0,2
120,Swiss Valley,Michigan,1200,225,57.91695652173913,0,2,1,0,4,7,11.0,2.0,0.1,60.0,60.0,89.0,51.0,60.0,32.0,42.0,80.0,60.0,2
122,Timber Ridge,Michigan,850,250,57.91695652173913,0,1,1,2,4,8,16.0,2.0,0.3,50.0,50.0,80.0,58.0,57.91695652173913,35.0,45.0,57.91695652173913,50.0,2
123,Treetops Resort,Michigan,1345,225,57.91695652173913,0,0,3,0,2,5,23.0,3.0,0.2,80.0,80.0,63.0,65.0,175.0,57.91695652173913,57.91695652173913,101.0,80.0,2
125,Andes Tower Hills Ski Area,Minnesota,1620,290,0.0,0,1,2,0,3,6,15.0,2.0,0.2,35.0,35.0,100.0,38.0,55.0,45.0,45.0,110.0,35.0,2
128,Coffee Mill Ski & Snowboard Resort,Minnesota,1150,425,0.0,0,0,0,2,1,3,14.0,1.0,1.0,40.0,35.0,57.0,39.0,48.0,23.0,37.0,56.0,35.0,2
130,Giants Ridge Resort,Minnesota,1972,500,57.91695652173913,1,1,1,2,2,7,35.0,2.0,0.8,202.0,202.0,120.0,35.0,85.0,49.0,58.0,125.0,121.0,2
131,Hyland Ski & Snowboard Area,Minnesota,1075,175,0.0,0,2,1,0,5,8,14.0,1.0,1.0,35.0,35.0,110.0,61.0,55.0,35.34,35.34,115.0,35.0,2
139,Snow Creek,Missouri,1100,300,57.91695652173913,0,0,2,1,2,5,14.0,2.0,0.3,30.0,30.0,69.0,33.0,20.0,37.0,47.0,85.0,30.0,2
149,Showdown Montana,Montana,8200,1400,0.0,0,0,1,2,1,4,36.0,1.0,1.8,640.0,57.91695652173913,86.0,83.0,250.0,47.0,47.0,85.0,57.91695652173913,1
150,Teton Pass Ski Resort,Montana,7200,1010,57.91695652173913,0,0,0,1,2,3,43.0,1.0,3.0,330.0,57.91695652173913,40.0,54.0,250.0,39.0,39.0,150.0,57.91695652173913,1
154,Lee Canyon,Nevada,11289,860,57.91695652173913,0,2,1,0,0,3,24.0,1.0,0.3,195.0,50.0,144.0,56.0,161.0,70.0,70.0,150.0,57.91695652173913,1
156,Attitash,New Hampshire,2350,1750,57.91695652173913,2,1,3,2,1,9,68.0,3.0,3.0,311.0,240.0,115.0,54.0,120.0,79.0,89.0,130.0,57.91695652173913,0
160,Cranmore Mountain Resort,New Hampshire,2000,1200,0.0,1,1,2,1,2,7,57.0,4.0,1.0,200.0,192.0,107.0,82.0,150.0,57.91695652173913,57.91695652173913,128.0,57.91695652173913,2
162,Dartmouth Skiway,New Hampshire,1943,969,0.0,0,1,0,1,2,4,28.0,1.0,1.1,107.0,54.0,104.0,63.0,100.0,50.0,50.0,105.0,57.91695652173913,2
163,Gunstock,New Hampshire,2300,1400,57.91695652173913,1,2,2,0,1,6,55.0,4.0,1.5,227.0,176.0,106.0,82.0,120.0,80.0,92.0,57.91695652173913,60.0,2
164,King Pine,New Hampshire,850,350,57.91695652173913,0,0,3,0,3,6,17.0,2.0,0.3,48.0,45.0,105.0,57.0,120.0,42.0,58.0,107.0,23.0,2
166,Mount Sunapee,New Hampshire,2743,1510,57.91695652173913,2,1,2,1,4,10,66.0,4.0,0.8,232.0,215.0,130.0,71.0,100.0,83.0,93.0,136.0,57.91695652173913,0
167,Pats Peak,New Hampshire,1460,770,57.91695652173913,0,0,4,2,5,11,28.0,3.0,1.5,115.0,115.0,109.0,56.0,100.0,58.0,72.0,112.0,93.0,2
169,Waterville Valley,New Hampshire,4004,2020,57.91695652173913,2,0,2,3,4,11,62.0,4.0,1.9,265.0,220.0,142.0,54.0,148.0,79.0,93.0,142.0,57.91695652173913,0
170,Whaleback Mountain,New Hampshire,1800,700,57.91695652173913,0,0,0,1,3,4,30.0,1.0,1.0,85.0,60.0,105.0,64.0,110.0,30.0,45.0,105.0,55.0,2
174,Angel Fire Resort,New Mexico,10677,2077,0.0,2,0,0,3,2,7,81.0,3.0,3.0,560.0,230.0,101.0,53.0,210.0,77.0,77.0,101.0,50.0,1
176,Pajarito Mountain Ski Area,New Mexico,10441,1410,57.91695652173913,0,1,1,3,1,6,45.0,2.0,0.6,750.0,35.0,89.0,62.0,163.0,49.0,49.0,117.0,57.91695652173913,1
177,Red River,New Mexico,10350,1600,0.0,0,1,3,1,2,7,63.0,3.0,2.5,209.0,57.91695652173913,110.0,60.0,214.0,79.0,79.0,57.91695652173913,57.91695652173913,1
178,Sandia Peak,New Mexico,10378,1700,57.91695652173913,0,0,0,4,1,5,39.0,1.0,2.0,200.0,30.0,32.0,82.0,100.0,55.0,55.0,38.0,57.91695652173913,1
179,Sipapu Ski Resort,New Mexico,9255,1055,57.91695652173913,0,1,2,0,3,6,42.0,4.0,0.5,200.0,140.0,127.0,67.0,190.0,47.0,47.0,143.0,57.91695652173913,1
181,Ski Santa Fe,New Mexico,12075,1725,0.0,0,1,2,2,2,7,83.0,1.0,3.0,660.0,275.0,107.0,73.0,225.0,80.0,80.0,130.0,57.91695652173913,1
187,Catamount,New York,2000,1000,57.91695652173913,0,1,1,2,3,7,36.0,5.0,2.0,133.0,130.0,100.0,80.0,108.0,38.0,69.0,90.0,55.0,2
188,Dry Hill Ski Area,New York,950,300,57.91695652173913,0,0,0,1,2,3,7.0,1.0,0.2,35.0,26.0,57.91695652173913,55.0,125.0,57.91695652173913,35.0,57.91695652173913,26.0,2
193,Holimont Ski Area,New York,2260,700,57.91695652173913,1,1,2,3,1,8,53.0,3.0,1.5,135.0,135.0,110.0,57.0,180.0,62.0,75.0,119.0,57.91695652173913,2
199,McCauley Mountain Ski Center,New York,2250,633,0.0,0,0,0,1,4,5,23.0,1.0,0.3,70.0,55.0,105.0,61.0,200.0,20.0,30.0,105.0,57.91695652173913,2
200,Mount Peter Ski Area,New York,1250,450,57.91695652173913,0,1,0,2,2,5,14.0,1.0,1.0,69.0,69.0,100.0,83.0,50.0,35.0,54.0,100.0,69.0,2
203,Plattekill Mountain,New York,3500,1100,57.91695652173913,0,0,1,1,2,4,38.0,1.0,2.0,110.0,75.0,65.0,26.0,175.0,50.0,67.0,65.0,57.91695652173913,0
205,Snow Ridge,New York,2000,650,57.91695652173913,0,0,0,4,2,6,21.0,2.0,0.8,130.0,65.0,73.0,74.0,230.0,38.0,48.0,100.0,40.0,2
209,Titus Mountain,New York,2025,1200,57.91695652173913,0,0,2,6,2,10,50.0,3.0,2.0,200.0,150.0,101.0,59.0,150.0,39.0,49.0,100.0,70.0,2
210,Toggenburg Mountain,New York,2000,700,57.91695652173913,0,0,1,1,3,5,22.0,2.0,0.4,85.0,57.91695652173913,57.91695652173913,66.0,130.0,55.0,55.0,122.0,73.0,2
211,West Mountain,New York,1470,1010,57.91695652173913,0,0,1,2,2,5,29.0,1.0,0.6,124.0,105.0,57.91695652173913,58.0,80.0,49.0,59.0,120.0,105.0,2
216,Appalachian Ski Mountain,North Carolina,4000,365,0.0,0,2,0,1,2,5,12.0,3.0,0.5,27.0,27.0,100.0,57.0,50.0,40.0,64.0,100.0,27.0,0
217,Cataloochee Ski Area,North Carolina,5400,740,0.0,0,1,1,1,2,5,18.0,2.0,1.0,50.0,50.0,141.0,58.0,50.0,43.0,70.0,108.0,50.0,0
221,Wolf Ridge Ski Resort,North Carolina,4700,720,57.91695652173913,0,1,0,1,2,4,15.0,1.0,0.6,65.0,65.0,57.91695652173913,49.0,65.0,42.0,65.0,100.0,60.0,0
222,Alpine Valley,Ohio,1500,230,0.0,0,1,2,1,1,5,11.0,1.0,0.2,72.0,72.0,105.0,53.0,120.0,43.0,43.0,57.91695652173913,72.0,2
223,Boston Mills,Ohio,871,264,57.91695652173913,0,0,4,2,2,8,7.0,2.0,0.3,40.0,40.0,92.0,56.0,51.0,44.0,44.0,110.0,40.0,2
226,Snow Trails,Ohio,1475,301,57.91695652173913,0,0,4,2,3,9,17.0,3.0,0.2,80.0,80.0,101.0,58.0,50.0,41.0,52.0,70.0,80.0,2
227,Anthony Lakes Mountain Resort,Oregon,8000,900,0.0,0,0,1,0,2,3,21.0,2.0,1.5,1100.0,57.91695652173913,75.0,56.0,300.0,40.0,40.0,80.0,57.91695652173913,1
230,Mt. Ashland,Oregon,7533,1150,0.0,0,0,2,2,1,5,23.0,2.0,1.0,220.0,57.91695652173913,94.0,55.0,300.0,45.0,52.0,92.0,40.0,1
238,Ski Big Bear,Pennsylvania,1250,650,0.0,0,0,0,4,2,6,18.0,1.0,1.5,26.0,26.0,75.0,43.0,69.0,50.0,62.0,75.0,26.0,2
240,Blue Knob,Pennsylvania,3146,1072,0.0,0,0,2,2,2,6,34.0,1.0,2.0,100.0,84.0,87.0,56.0,120.0,43.0,68.0,105.0,42.0,0
243,Eagle Rock,Pennsylvania,1810,550,57.91695652173913,0,0,0,3,0,3,14.0,1.0,1.0,57.91695652173913,57.91695652173913,57.91695652173913,47.0,57.91695652173913,57.91695652173913,57.91695652173913,40.0,57.91695652173913,2
244,Elk Mountain Ski Resort,Pennsylvania,2693,1000,57.91695652173913,0,1,0,5,1,7,27.0,2.0,0.7,180.0,146.0,57.91695652173913,60.0,60.0,55.0,69.0,100.0,90.0,0
245,Jack Frost,Pennsylvania,2000,600,57.91695652173913,0,1,2,5,1,9,20.0,1.0,1.0,100.0,100.0,96.0,47.0,50.0,50.0,65.0,105.0,57.91695652173913,2
250,Shawnee Mountain Ski Area,Pennsylvania,1350,700,0.0,1,1,0,4,4,10,23.0,2.0,1.6,125.0,125.0,100.0,44.0,50.0,55.0,65.0,122.0,120.0,2
253,Spring Mountain Ski Area,Pennsylvania,528,450,0.0,0,0,1,3,2,6,9.0,1.0,0.2,45.0,45.0,100.0,56.0,20.0,57.91695652173913,57.91695652173913,100.0,45.0,2
254,Tussey Mountain,Pennsylvania,1750,520,57.91695652173913,0,1,0,1,3,5,8.0,1.0,0.3,38.0,30.0,100.0,39.0,41.0,40.0,45.0,100.0,30.0,2
256,Yawgoo Valley,Rhode Island,315,245,57.91695652173913,0,0,0,2,2,4,13.0,1.0,0.2,30.0,30.0,100.0,54.0,40.0,57.91695652173913,57.91695652173913,100.0,30.0,2
257,Deer Mountain Ski Resort,South Dakota,6850,940,0.0,0,0,1,1,2,4,63.0,2.0,1.6,500.0,50.0,69.0,51.0,200.0,45.0,45.0,81.0,57.91695652173913,1
259,Ober Gatlinburg Ski Resort,Tennessee,3300,600,57.91695652173913,0,2,0,1,1,4,10.0,1.0,1.0,57.91695652173913,57.91695652173913,83.0,44.0,35.0,36.0,65.0,94.0,57.91695652173913,0
261,Beaver Mountain,Utah,8600,1600,0.0,0,0,1,3,1,5,48.0,2.0,0.8,464.0,57.91695652173913,120.0,81.0,400.0,50.0,50.0,120.0,57.91695652173913,1
271,Sundance,Utah,8250,2150,57.91695652173913,0,2,2,0,1,5,45.0,1.0,0.6,450.0,112.0,128.0,50.0,320.0,80.0,80.0,129.0,57.91695652173913,1
273,Bolton Valley,Vermont,3150,1704,0.0,0,2,0,3,1,6,71.0,3.0,0.6,300.0,90.0,133.0,53.0,300.0,69.0,79.0,132.0,50.0,0
274,Bromley Mountain,Vermont,3284,1334,57.91695652173913,1,1,0,4,3,9,47.0,1.0,2.5,178.0,153.0,57.91695652173913,83.0,168.0,87.0,91.0,152.0,57.91695652173913,0
275,Burke Mountain,Vermont,3267,2011,0.0,2,1,0,0,3,6,50.0,3.0,2.2,178.0,125.0,110.0,62.0,217.0,73.0,73.0,125.0,57.91695652173913,0
279,Magic Mountain,Vermont,2850,1500,0.0,0,0,0,3,3,6,50.0,1.0,1.6,205.0,95.0,76.0,59.0,150.0,74.0,74.0,80.0,57.91695652173913,0
282,Pico Mountain ,Vermont,3967,1967,0.0,2,0,2,2,1,7,59.0,1.0,4.0,260.0,156.0,57.91695652173913,82.0,250.0,81.0,81.0,57.91695652173913,57.91695652173913,0
283,Smugglers' Notch Resort,Vermont,3640,2610,0.0,0,0,0,6,2,8,78.0,6.0,3.0,1000.0,192.0,136.0,63.0,280.0,79.0,79.0,135.0,57.91695652173913,0
294,Bluewood,Washington,5670,1125,0.0,0,0,2,0,1,3,24.0,2.0,2.0,355.0,57.91695652173913,70.0,40.0,300.0,42.0,47.0,110.0,57.91695652173913,0
301,White Pass,Washington,6550,2050,57.91695652173913,2,1,1,2,2,8,45.0,2.0,2.5,1402.0,30.0,148.0,67.0,400.0,69.0,69.0,144.0,90.0,1
302,Canaan Valley Resort,West Virginia,4280,850,57.91695652173913,0,1,2,0,1,4,47.0,1.0,1.2,95.0,75.0,57.91695652173913,48.0,160.0,52.0,68.0,93.0,57.91695652173913,0
304,Timberline Four Seasons,West Virginia,4265,1000,57.91695652173913,0,0,2,1,1,4,40.0,1.0,2.0,100.0,100.0,97.0,37.0,150.0,72.0,92.0,115.0,27.0,0
305,Winterplace Ski Resort,West Virginia,3600,603,57.91695652173913,0,2,3,2,2,9,27.0,2.0,1.2,90.0,90.0,120.0,36.0,100.0,56.0,72.0,120.0,74.0,0
307,Bruce Mound,Wisconsin,1375,375,0.0,0,0,1,0,4,5,12.0,2.0,0.5,40.0,30.0,42.0,71.0,42.0,33.0,25.0,42.0,30.0,2
308,Cascade Mountain,Wisconsin,1280,460,57.91695652173913,2,2,3,2,3,12,47.0,4.0,1.1,175.0,175.0,120.0,57.0,56.0,59.0,64.0,120.0,57.91695652173913,2
309,Christie Mountain,Wisconsin,1650,350,57.91695652173913,0,0,0,1,5,6,30.0,4.0,0.8,45.0,41.0,92.0,43.0,48.0,28.0,38.0,120.0,35.0,2
312,Grand Geneva,Wisconsin,1086,211,57.91695652173913,0,0,0,3,3,6,20.0,1.0,0.2,30.0,30.0,90.0,25.0,25.0,28.0,49.0,93.0,30.0,2
314,Little Switzerland,Wisconsin,1269,200,0.0,0,0,0,4,4,8,18.0,3.0,1.0,50.0,50.0,57.91695652173913,57.91695652173913,57.91695652173913,33.0,41.0,57.91695652173913,50.0,2
315,Mount La Crosse,Wisconsin,1110,516,57.91695652173913,0,0,0,3,1,4,19.0,1.0,0.4,100.0,100.0,115.0,60.0,40.0,56.0,56.0,100.0,90.0,2
316,Nordic Mountain,Wisconsin,1137,265,57.91695652173913,0,0,1,1,5,7,18.0,4.0,1.0,60.0,60.0,68.0,43.0,80.0,57.91695652173913,47.0,90.0,60.0,2
317,Sunburst,Wisconsin,1100,214,0.0,0,0,0,3,6,9,13.0,4.0,0.5,37.0,37.0,99.0,59.0,50.0,33.0,44.0,115.0,37.0,2
318,Trollhaugen,Wisconsin,1200,260,0.0,0,2,0,1,5,8,24.0,4.0,0.5,86.0,86.0,130.0,69.0,50.0,54.0,54.0,120.0,86.0,2
319,Tyrol Basin,Wisconsin,1160,300,0.0,0,0,3,0,2,5,18.0,5.0,0.5,32.0,32.0,112.0,61.0,41.0,17.0,48.0,103.0,32.0,2
320,Whitecap Mountain,Wisconsin,1750,400,57.91695652173913,0,1,0,4,0,5,43.0,1.0,1.0,400.0,300.0,105.0,57.0,200.0,60.0,60.0,118.0,57.91695652173913,2
323,Hogadon Basin,Wyoming,8000,640,57.91695652173913,0,0,0,1,1,2,28.0,1.0,0.6,92.0,32.0,121.0,61.0,80.0,48.0,48.0,95.0,57.91695652173913,1
326,Sleeping Giant Ski Resort,Wyoming,7428,810,0.0,0,0,1,1,1,3,48.0,1.0,1.0,184.0,18.0,61.0,81.0,310.0,42.0,42.0,77.0,57.91695652173913,1
327,Snow King Resort,Wyoming,7808,1571,57.91695652173913,0,1,1,1,0,3,32.0,2.0,1.0,400.0,250.0,121.0,80.0,300.0,59.0,59.0,123.0,110.0,1
328,Snowy Range Ski & Recreation Area,Wyoming,9663,990,0.0,0,0,1,3,1,5,33.0,2.0,0.7,75.0,30.0,131.0,59.0,250.0,49.0,49.0,57.91695652173913,57.91695652173913,1
